ind,X,Y,Z,Phase
l1,-30.17,-49.11,104,abc
l2,-25.67,-49.11,104,abc
l3,-21.17,-49.11,104,abc
l4,-16.67,-49.11,104,abc
l5,-12.17,-49.11,104,abc
l6,-7.67,-49.11,104,abc
l7,-3.17,-49.11,104,abc
l8,-30.17,-44.61,104,abc
l9,-30.17,-40.11,104,abc
l10,-30.17,-35.61,104,abc
l11,-30.17,-31.11,104,abc
l12,-30.17,-26.61,104,abc
l13,-30.17,-22.11,104,abc
l14,-30.17,-17.61,104,abc
l15,-30.17,-13.11,104,abc
l16,-30.17,-8.61,104,abc
l17,-30.17,-4.11,104,abc
l18,-30.17,0.39,104,abc
l19,-30.17,4.89,104,abc
l20,-30.17,9.39,104,abc
l21,-30.17,13.89,104,abc
l22,-30.17,18.39,104,abc
l23,-30.17,22.89,104,abc
l24,-25.67,22.89,104,abc
l25,-21.17,22.89,104,abc
l26,-16.67,22.89,104,abc
l27,-12.17,22.89,104,abc
l28,-7.67,22.89,104,abc
l29,-3.17,22.89,104,abc
l30,1.33,22.89,104,abc
l31,5.83,22.89,104,abc
l32,10.33,22.89,104,abc
l33,14.83,22.89,104,abc
l34,19.33,22.89,104,abc
l35,23.83,22.89,104,abc
l36,28.33,22.89,104,abc
l37,32.83,22.89,104,abc
l38,37.33,22.89,104,abc
l39,41.83,22.89,104,abc
l40,46.33,22.89,104,abc
l41,50.83,22.89,104,abc
l42,50.83,18.39,104,abc
l43,50.83,13.89,104,abc
l44,50.83,9.39,104,abc
l45,50.83,4.89,104,abc
l46,50.83,0.39,104,abc
l47,50.83,-4.11,104,abc
l48,50.83,-8.61,104,abc
l49,50.83,-13.11,104,abc
l50,46.33,-13.11,104,abc
l51,41.83,-13.11,104,abc
l52,37.33,-13.11,104,abc
l53,32.83,-13.11,104,abc
l54,28.33,-13.11,104,abc
l55,23.83,-13.11,104,abc
l56,19.33,-13.11,104,abc
l57,14.83,-13.11,104,abc
l58,10.33,-13.11,104,abc
l59,5.83,-13.11,104,abc
l60,1.33,-13.11,104,abc
l61,-3.17,-13.11,104,abc
l62,-3.17,-17.61,104,abc
l63,-3.17,-22.11,104,abc
l64,-3.17,-26.61,104,abc
l65,-3.17,-31.11,104,abc
l66,-3.17,-35.61,104,abc
l67,-3.17,-40.11,104,abc
l68,-3.17,-44.61,104,abc
